archivo_origen,codificacion_utilizada,lineas_anteriores_omitidas,filas_originales_desde_encabezado,filas_eliminadas,filas_datos,columnas_originales,columnas_finales,columnas_sin_nombre_eliminadas,columnas_requeridas_faltantes,estado,archivo_generado
establecimiento (1).csv,cp1252,26,176,5,171,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_1_new.csv
establecimiento (10).csv,cp1252,26,188,5,183,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_10_new.csv
establecimiento (11).csv,cp1252,26,397,5,392,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_11_new.csv
establecimiento (12).csv,cp1252,26,521,5,516,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_12_new.csv
establecimiento (13).csv,cp1252,26,556,5,551,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_13_new.csv
establecimiento (14).csv,cp1252,26,327,5,322,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_14_new.csv
establecimiento (15).csv,cp1252,26,369,5,364,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_15_new.csv
establecimiento (16).csv,cp1252,26,435,5,430,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_16_new.csv
establecimiento (17).csv,cp1252,26,729,5,724,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_17_new.csv
establecimiento (18).csv,cp1252,26,218,5,213,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_18_new.csv
establecimiento (19).csv,cp1252,26,197,5,192,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_19_new.csv
establecimiento (2).csv,cp1252,26,440,5,435,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_2_new.csv
establecimiento (20).csv,cp1252,26,442,5,437,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_20_new.csv
establecimiento (21).csv,cp1252,26,133,5,128,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_21_new.csv
establecimiento (22).csv,cp1252,26,161,5,156,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_22_new.csv
establecimiento (3).csv,cp1252,26,244,5,239,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_3_new.csv
establecimiento (4).csv,cp1252,26,2166,5,2161,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_4_new.csv
establecimiento (5).csv,cp1252,26,163,5,158,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_5_new.csv
establecimiento (6).csv,cp1252,26,713,5,708,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_6_new.csv
establecimiento (7).csv,cp1252,26,1913,5,1908,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_7_new.csv
establecimiento (8).csv,cp1252,26,596,5,591,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_8_new.csv
establecimiento (9).csv,cp1252,26,418,5,413,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_9_new.csv
establecimiento.csv,cp1252,26,480,5,475,20,17,"Unnamed: 1, Unnamed: 18, Unnamed: 19",,Correcto,establecimiento_new.csv
