seccion,variable,metrica,valor
a_registros_variables,,registros,11867
a_registros_variables,,variables,18
b_tipo_dato,CODIGO,tipo_dato,string
b_tipo_dato,DISTRITO,tipo_dato,string
b_tipo_dato,DEPARTAMENTO,tipo_dato,string
b_tipo_dato,MUNICIPIO,tipo_dato,string
b_tipo_dato,ESTABLECIMIENTO,tipo_dato,string
b_tipo_dato,DIRECCION,tipo_dato,string
b_tipo_dato,TELEFONO,tipo_dato,string
b_tipo_dato,SUPERVISOR,tipo_dato,string
b_tipo_dato,DIRECTOR,tipo_dato,string
b_tipo_dato,NIVEL,tipo_dato,string
b_tipo_dato,SECTOR,tipo_dato,string
b_tipo_dato,AREA,tipo_dato,string
b_tipo_dato,STATUS,tipo_dato,string
b_tipo_dato,MODALIDAD,tipo_dato,string
b_tipo_dato,JORNADA,tipo_dato,string
b_tipo_dato,PLAN,tipo_dato,string
b_tipo_dato,DEPARTAMENTAL,tipo_dato,string
b_tipo_dato,origen,tipo_dato,string
c_faltantes,DIRECTOR,faltantes,1733
c_faltantes,DIRECTOR,porcentaje_faltantes,14.6
c_faltantes,TELEFONO,faltantes,946
c_faltantes,TELEFONO,porcentaje_faltantes,7.97
c_faltantes,SUPERVISOR,faltantes,535
c_faltantes,SUPERVISOR,porcentaje_faltantes,4.51
c_faltantes,DISTRITO,faltantes,532
c_faltantes,DISTRITO,porcentaje_faltantes,4.48
c_faltantes,DIRECCION,faltantes,76
c_faltantes,DIRECCION,porcentaje_faltantes,0.64
c_faltantes,ESTABLECIMIENTO,faltantes,5
c_faltantes,ESTABLECIMIENTO,porcentaje_faltantes,0.04
c_faltantes,CODIGO,faltantes,0
c_faltantes,CODIGO,porcentaje_faltantes,0.0
c_faltantes,STATUS,faltantes,0
c_faltantes,STATUS,porcentaje_faltantes,0.0
c_faltantes,DEPARTAMENTAL,faltantes,0
c_faltantes,DEPARTAMENTAL,porcentaje_faltantes,0.0
c_faltantes,PLAN,faltantes,0
c_faltantes,PLAN,porcentaje_faltantes,0.0
c_faltantes,JORNADA,faltantes,0
c_faltantes,JORNADA,porcentaje_faltantes,0.0
