Métrica,Antes,Después
Registros,11867,11867
Variables,18,18
Valores faltantes,3827 (1.79%),532 (0.25%)
Variables con NA,6,1
Duplicados exactos,0,0
Posibles duplicados,no calculado (Este análisis requiere 'rapidfuzz'. Instálalo con: pip install rapidfuzz --break-system-packages),no calculado (Este análisis requiere 'rapidfuzz'. Instálalo con: pip install rapidfuzz --break-system-packages)
Variables con formato inconsistente,1,0
Variables con tipo incorrecto,0,0
Categorías inconsistentes,0,0
Errores corregidos,0,7773
