similitud,codigo_1,codigo_2,establecimiento_1,establecimiento_2,jornada_1,jornada_2,modalidad_1,modalidad_2,plan_1,plan_2,director_1,director_2,status_1,status_2
100.0,00-18-0057-46,00-18-0058-46,COLEGIO TECNOLOGICO HOMBRE DE NAZARETH,COLEGIO TECNOLOGICO HOMBRE DE NAZARETH,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,SULMAN ESPERANZA JIMENEZ CASTAÑAZA,SULMAN ESPERANZA JIMENEZ CASTAÑAZA,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,00-18-0155-46,00-18-0161-46,LICEO CUMORAH PINOS,LICEO CUMORAH PINOS,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARÍA ANTONIA CAP GARCÍA,MARÍA ANTONIA CAP GARCÍA,ABIERTA,ABIERTA
100.0,01-17-0188-46,01-17-0191-46,"COLEGIO ""VALLE DEL SABER""","COLEGIO ""VALLE DEL SABER""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,HEYDI ROXANA URIAS MARTINEZ,HEYDI ROXANA URIAS MARTINEZ,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,00-19-0102-46,00-19-0112-46,INED M. A. HERMENEGILDO DE JESÚS PEREIRA DEL CID,INED M. A. HERMENEGILDO DE JESÚS PEREIRA DEL CID,NOCTURNA,NOCTURNA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),HÉCTOR DAVID GÓMEZ ARDIANO,HÉCTOR DAVID GÓMEZ ARDIANO,ABIERTA,ABIERTA
100.0,00-19-0066-46,00-19-0067-46,LICEO TÉCNICO VOCACIONAL GALILEI,LICEO TÉCNICO VOCACIONAL GALILEI,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,SONIA JOSEFINA MORALES CAXAJ,SONIA JOSEFINA MORALES CAXAJ,ABIERTA,ABIERTA
100.0,00-19-0065-46,00-19-0067-46,LICEO TÉCNICO VOCACIONAL GALILEI,LICEO TÉCNICO VOCACIONAL GALILEI,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,SONIA JOSEFINA MORALES CAXAJ,SONIA JOSEFINA MORALES CAXAJ,ABIERTA,ABIERTA
100.0,00-19-0065-46,00-19-0066-46,LICEO TÉCNICO VOCACIONAL GALILEI,LICEO TÉCNICO VOCACIONAL GALILEI,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,SONIA JOSEFINA MORALES CAXAJ,SONIA JOSEFINA MORALES CAXAJ,ABIERTA,ABIERTA
100.0,00-19-0029-46,00-19-0031-46,CENTRO INTEGRAL EDUCATIVO SAN FRANCISCO,CENTRO INTEGRAL EDUCATIVO SAN FRANCISCO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,VILMA ISABEL OROZCO LÓPEZ,VILMA ISABEL OROZCO LÓPEZ,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,00-18-0211-46,00-18-0257-46,COLEGIO BELLO AMANECER 2,COLEGIO BELLO AMANECER 2,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),ADA MARLENY GUERRA,ADA MARLENY GUERRA,ABIERTA,ABIERTA
100.0,01-17-0225-46,01-17-0226-46,INSTITUTO TÉCNICO EMILIANI SOMASCOS,INSTITUTO TÉCNICO EMILIANI SOMASCOS,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARIA DEL CARMEN CABRERA ESTRADA DE JORDÁN,MARIA DEL CARMEN CABRERA ESTRADA DE JORDÁN,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,00-18-0154-46,00-18-0161-46,LICEO CUMORAH PINOS,LICEO CUMORAH PINOS,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARÍA ANTONIA CAP GARCÍA,MARÍA ANTONIA CAP GARCÍA,ABIERTA,ABIERTA
100.0,00-12-0170-46,00-12-0171-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,NOCTURNA,NOCTURNA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),VERÓNICA MARÍA AGUILAR POSADAS,VERÓNICA MARÍA AGUILAR POSADAS,ABIERTA,ABIERTA
100.0,00-18-0154-46,00-18-0155-46,LICEO CUMORAH PINOS,LICEO CUMORAH PINOS,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARÍA ANTONIA CAP GARCÍA,MARÍA ANTONIA CAP GARCÍA,ABIERTA,ABIERTA
100.0,01-17-0225-46,01-17-0227-46,INSTITUTO TÉCNICO EMILIANI SOMASCOS,INSTITUTO TÉCNICO EMILIANI SOMASCOS,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARIA DEL CARMEN CABRERA ESTRADA DE JORDÁN,MARIA DEL CARMEN CABRERA ESTRADA DE JORDÁN,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,22-01-0452-46,22-01-0453-46,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),DESCONOCIDO,DESCONOCIDO,TEMPORAL NOMBRAMIENTO,TEMPORAL NOMBRAMIENTO
100.0,01-17-0226-46,01-17-0227-46,INSTITUTO TÉCNICO EMILIANI SOMASCOS,INSTITUTO TÉCNICO EMILIANI SOMASCOS,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARIA DEL CARMEN CABRERA ESTRADA DE JORDÁN,MARIA DEL CARMEN CABRERA ESTRADA DE JORDÁN,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,00-18-0004-46,00-18-0005-46,LICEO FRANCO GUATEMALTECO,LICEO FRANCO GUATEMALTECO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,EVELIN SIOMARA FRANCO CHUR,EVELIN SIOMARA FRANCO CHUR,ABIERTA,ABIERTA
100.0,00-17-9769-46,00-17-9771-46,COLEGIO PANAMERICANO,COLEGIO PANAMERICANO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,DELFINA MARISOL PAZOS RAMOS,DELFINA MARISOL PAZOS RAMOS,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
