variable,valor,cantidad
DEPARTAMENTO,CIUDAD CAPITAL,2161
DEPARTAMENTO,GUATEMALA,1908
DEPARTAMENTO,SAN MARCOS,724
DEPARTAMENTO,ESCUINTLA,708
DEPARTAMENTO,HUEHUETENANGO,591
DEPARTAMENTO,QUETZALTENANGO,551
DEPARTAMENTO,PETEN,516
DEPARTAMENTO,ALTA VERAPAZ,475
DEPARTAMENTO,SUCHITEPEQUEZ,437
DEPARTAMENTO,CHIMALTENANGO,435
DEPARTAMENTO,SACATEPEQUEZ,430
DEPARTAMENTO,IZABAL,413
DEPARTAMENTO,JUTIAPA,392
DEPARTAMENTO,RETALHULEU,364
DEPARTAMENTO,QUICHE,322
DEPARTAMENTO,CHIQUIMULA,239
DEPARTAMENTO,SANTA ROSA,213
DEPARTAMENTO,SOLOLA,192
DEPARTAMENTO,JALAPA,183
DEPARTAMENTO,BAJA VERAPAZ,171
DEPARTAMENTO,EL PROGRESO,158
DEPARTAMENTO,ZACAPA,156
DEPARTAMENTO,TOTONICAPAN,128
MUNICIPIO,ZONA 1,868
MUNICIPIO,MIXCO,562
MUNICIPIO,VILLA NUEVA,446
MUNICIPIO,QUETZALTENANGO,281
MUNICIPIO,ZONA 7,236
MUNICIPIO,RETALHULEU,204
MUNICIPIO,MAZATENANGO,200
MUNICIPIO,CHIMALTENANGO,198
MUNICIPIO,ESCUINTLA,189
MUNICIPIO,HUEHUETENANGO,177
MUNICIPIO,PUERTO BARRIOS,173
MUNICIPIO,SAN MIGUEL PETAPA,160
MUNICIPIO,ZONA 12,149
MUNICIPIO,AMATITLAN,146
MUNICIPIO,ANTIGUA GUATEMALA,145
MUNICIPIO,SANTA LUCIA COTZUMALGUAPA,136
MUNICIPIO,ZONA 18,134
MUNICIPIO,JUTIAPA,133
MUNICIPIO,COBAN,132
MUNICIPIO,MORALES,130
MUNICIPIO,ZONA 2,118
MUNICIPIO,SAN JUAN SACATEPEQUEZ,117
MUNICIPIO,JALAPA,100
MUNICIPIO,MALACATAN,97
MUNICIPIO,COATEPEQUE,96
MUNICIPIO,ZONA 6,94
MUNICIPIO,SAN PEDRO SACATEPEQUEZ,92
MUNICIPIO,VILLA CANALES,89
MUNICIPIO,LA LIBERTAD,87
MUNICIPIO,SAN MARCOS,84
MUNICIPIO,ZONA 11,80
MUNICIPIO,CHIQUIMULA,79
MUNICIPIO,FLORES,72
MUNICIPIO,CHINAUTLA,71
MUNICIPIO,TIQUISATE,71
MUNICIPIO,SAN BENITO,70
MUNICIPIO,SANTA CRUZ DEL QUICHE,68
MUNICIPIO,SAN JOSE PINULA,67
MUNICIPIO,ZACAPA,67
MUNICIPIO,SAN JOSE,65
MUNICIPIO,ZONA 19,65
MUNICIPIO,FRAIJANES,62
MUNICIPIO,ZONA 13,61
MUNICIPIO,IXCAN,61
MUNICIPIO,ZONA 3,61
MUNICIPIO,LA DEMOCRACIA,60
MUNICIPIO,SAN PEDRO CARCHA,57
MUNICIPIO,ZONA 10,56
MUNICIPIO,SAYAXCHE,55
MUNICIPIO,SOLOLA,54
MUNICIPIO,NUEVA CONCEPCION,52
MUNICIPIO,TOTONICAPAN,51
MUNICIPIO,SALAMA,48
MUNICIPIO,LIVINGSTON,46
MUNICIPIO,CIUDAD VIEJA,46
MUNICIPIO,PALIN,46
MUNICIPIO,LOS AMATES,46
MUNICIPIO,CHIQUIMULILLA,45
MUNICIPIO,ZONA 5,45
MUNICIPIO,SAN AGUSTIN ACASAGUASTLAN,45
MUNICIPIO,SAN CRISTOBAL VERAPAZ,45
MUNICIPIO,COMITANCILLO,44
MUNICIPIO,SANTA CATARINA PINULA,44
MUNICIPIO,ZONA 21,40
MUNICIPIO,SAN LUCAS SACATEPEQUEZ,40
MUNICIPIO,PALENCIA,39
MUNICIPIO,ESQUIPULAS,39
MUNICIPIO,JOCOTENANGO,38
MUNICIPIO,ZONA 9,38
MUNICIPIO,SAN LUIS,38
MUNICIPIO,POPTUN,38
MUNICIPIO,JALPATAGUA,36
MUNICIPIO,SANTA CRUZ BARILLAS,36
MUNICIPIO,SAN ANTONIO SUCHITEPEQUEZ,36
MUNICIPIO,NUEVO PROGRESO,35
MUNICIPIO,SUMPANGO,35
MUNICIPIO,BARBERENA,35
MUNICIPIO,TACANA,35
MUNICIPIO,DOLORES,34
MUNICIPIO,MASAGUA,34
MUNICIPIO,SAN JUAN OSTUNCALCO,33
MUNICIPIO,CUILAPA,33
MUNICIPIO,SAN CRISTOBAL TOTONICAPAN,33
MUNICIPIO,SAN ANDRES VILLA SECA,33
MUNICIPIO,SAN MARTIN JILOTEPEQUE,32
MUNICIPIO,LA GOMERA,32
MUNICIPIO,SANARATE,32
MUNICIPIO,PANAJACHEL,32
MUNICIPIO,EL TUMBADOR,32
MUNICIPIO,JACALTENANGO,32
MUNICIPIO,LAS CRUCES,32
MUNICIPIO,TACTIC,31
MUNICIPIO,GUASTATOYA,31
MUNICIPIO,ZONA 17,30
MUNICIPIO,SAN JUAN COMALAPA,30
MUNICIPIO,QUEZALTEPEQUE,30
MUNICIPIO,JOCOTAN,30
MUNICIPIO,SANTA LUCIA MILPAS ALTAS,29
MUNICIPIO,SAN LORENZO,29
MUNICIPIO,RABINAL,29
MUNICIPIO,ASUNCION MITA,28
MUNICIPIO,AYUTLA,28
MUNICIPIO,PATULUL,28
MUNICIPIO,TECPAN GUATEMALA,28
MUNICIPIO,CHIANTLA,28
MUNICIPIO,PANZOS,27
MUNICIPIO,SANTO TOMAS LA UNION,27
MUNICIPIO,CUYOTENANGO,26
MUNICIPIO,FRAY BARTOLOME DE LAS CASAS,26
MUNICIPIO,NEBAJ,26
MUNICIPIO,SAN MIGUEL USPANTAN,26
MUNICIPIO,CUBULCO,26
MUNICIPIO,MOYUTA,25
MUNICIPIO,IPALA,25
MUNICIPIO,ZARAGOZA,25
MUNICIPIO,NUEVA SANTA ROSA,25
MUNICIPIO,MELCHOR DE MENCOS,25
MUNICIPIO,SAN MIGUEL CHICAJ,24
MUNICIPIO,MATAQUESCUINTLA,24
MUNICIPIO,SAN ANDRES,24
MUNICIPIO,SAN FELIPE,24
MUNICIPIO,SAN PABLO,24
MUNICIPIO,SAN RAYMUNDO,23
MUNICIPIO,MALACATANCITO,23
MUNICIPIO,NUEVO SAN CARLOS,23
MUNICIPIO,TECULUTAN,23
MUNICIPIO,SAN SEBASTIAN,23
MUNICIPIO,SAN JUAN CHAMELCO,23
MUNICIPIO,LA TINTA,23
MUNICIPIO,PAJAPITA,22
MUNICIPIO,SAN MIGUEL IXTAHUACAN,22
MUNICIPIO,ZONA 14,22
MUNICIPIO,AGUACATAN,22
MUNICIPIO,SANTO TOMAS CHICHICASTENANGO,21
MUNICIPIO,PATZUN,21
MUNICIPIO,CONCEPCION TUTUAPA,21
MUNICIPIO,COMAPA,21
MUNICIPIO,ZONA 15,20
MUNICIPIO,ZONA 16,20
MUNICIPIO,EL ASINTAL,20
MUNICIPIO,CHISEC,20
MUNICIPIO,CATARINA,20
MUNICIPIO,ATESCATEMPA,20
MUNICIPIO,MONJAS,20
MUNICIPIO,SAN PEDRO AYAMPUC,20
MUNICIPIO,TEJUTLA,19
MUNICIPIO,SAN ILDEFONSO IXTAHUACAN,19
MUNICIPIO,SANTA MARIA CAHABON,19
MUNICIPIO,SAN PEDRO SOLOMA,19
