variable,tipo_detectado,registros,valores_faltantes,porcentaje_faltantes,valores_no_faltantes,valores_unicos_sin_na,valores_unicos_con_na
CODIGO,string,11867,0,0.0,11867,11867,11867
DISTRITO,string,11867,532,4.483,11335,1681,1682
DEPARTAMENTO,string,11867,0,0.0,11867,23,23
MUNICIPIO,string,11867,0,0.0,11867,352,352
ESTABLECIMIENTO,string,11867,5,0.0421,11862,6312,6313
DIRECCION,string,11867,76,0.6404,11791,7439,7440
TELEFONO,string,11867,946,7.9717,10921,6571,6572
SUPERVISOR,string,11867,535,4.5083,11332,1280,1281
DIRECTOR,string,11867,1733,14.6035,10134,5514,5515
NIVEL,string,11867,0,0.0,11867,1,1
SECTOR,string,11867,0,0.0,11867,4,4
AREA,string,11867,0,0.0,11867,3,3
STATUS,string,11867,0,0.0,11867,5,5
MODALIDAD,string,11867,0,0.0,11867,2,2
JORNADA,string,11867,0,0.0,11867,6,6
PLAN,string,11867,0,0.0,11867,13,13
DEPARTAMENTAL,string,11867,0,0.0,11867,26,26
origen,string,11867,0,0.0,11867,23,23
